연도,회차,일차,경기번호,번호,선수명,나이,기어,200m,훈련지,승률,연대율,삼연대율,경기종류,입상회수,출전회수,선행,젖히기,추입,마크,현재등급,이전등급,광명,종합,1회전1일차,1회전2일차,1회전3일차,2회전날짜,2회전1일차,2회전2일차,2회전3일차,3회전날짜,3회전1일차,3회전2일차,금회1일차전법,금회2일차전법,금회3일차전법,1회전1일차전법,1회전2일차전법,1회전3일차전법,2회전1일차전법,2회전2일차전법,2회전3일차전법,3회전1일차전법,3회전2일차전법,3회전3일차전법,Rank
2024,8,3,1,1,강동국,50,3.92,12.27,구미,0,11,11,선발,5,44,0,0,2,3,B3,B3,83.32,83.89,4,2,5,126,7,4,5,105,5,4,,,,,4,,,,,,,,
2024,8,3,1,2,문성은,48,3.92,11.55,광주,0,33,56,선발,10,40,4,0,2,4,B2,B2,86.82,87.16,2,5,2,202,4,4,4,105,2,3,,,,1,,4,,,,2,4,1,
2024,8,3,1,3,정성기,55,3.92,11.52,일산,0,0,11,선발,2,40,0,0,0,2,B3,B2,82.14,82.76,6,7,5,119,5,4,3,105,7,6,,,,,,,,,4,,,,
2024,8,3,1,4,신양우,52,3.92,12.05,미원,17,58,58,선발,25,43,0,1,12,12,B2,B2,87.51,87.03,6,2,1,202,2,4,2,119,2,6,4,4,,,2,2,2,,4,2,,,
2024,8,3,1,5,정재성,48,3.92,11.64,구미,11,22,33,선발,20,30,0,1,13,6,B2,A3,87.26,87.17,3,1,2,126,7,7,6,112,7,7,4,2,,2,2,4,,,,,,,
2024,8,3,1,6,김규윤,42,3.92,12.32,대전,0,0,11,선발,9,37,0,0,0,9,B3,B3,84.25,83.44,7,3,5,126,6,5,4,105,6,4,4,,,,4,,,,,,,,
2024,8,3,1,7,조왕우,49,3.92,12.36,팔당,0,0,0,선발,5,51,0,0,2,3,B2,B2,84.54,85.01,5,4,4,105,6,,,1223,6,5,,,,,,,,,,,,2,
2024,8,3,2,1,손주영,39,3.92,12.55,구미,11,33,56,선발,27,42,18,3,3,3,B2,B1,87.55,87.07,3,4,3,119,6,2,2,105,1,6,1,3,,1,,1,,1,4,3,,,
2024,8,3,2,2,유주현,44,3.92,11.79,청평,0,0,33,선발,13,37,0,1,4,8,B2,B2,85.86,84.62,7,4,3,119,4,3,6,1223,4,3,,,,,,4,,3,,,4,,
2024,8,3,2,3,이재봉,43,3.86,11.85,동광주,0,14,37,선발,9,29,0,0,1,8,B2,B2,85.71,85.22,2,5,4,1208,4,6,4,1124,4,6,,,,4,,,,,,,,,
2024,8,3,2,4,한은철,46,3.92,11.8,가평,0,0,0,선발,11,38,0,0,1,10,B3,B2,83.98,83.14,5,4,6,119,6,6,7,1229,4,6,,,,,,,,,,,,4,
2024,8,3,2,5,권문석,47,3.92,11.91,김해A,0,0,11,선발,5,39,0,0,0,5,B3,B2,84.43,82.93,7,6,7,119,4,6,7,105,3,4,,,,,,,,,,4,,,
2024,8,3,2,6,신익희,48,3.92,11.96,전주,0,0,33,선발,12,25,0,0,3,9,B2,B2,84.66,85.22,4,3,3,126,6,5,4,1229,5,4,,4,,,4,4,,,,,,4,
2024,8,3,2,7,조창인,48,3.92,11.59,동광주,17,50,83,선발,22,38,1,1,6,14,B1,B1,87.51,88.27,3,2,3,202,1,2,5,1215,4,5,,1,,4,2,2,3,4,,,,2,
